"#","Name","Type 1","Type 2","Total","HP","Attack","Defense","Sp. Atk","Sp. Def","Speed","Generation","Legendary","hue","url"
"78","Rapidash","Fire","N/A","500","65","100","70","80","80","105","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/rapidash.png"
"79","Slowpoke","Water","Psychic","315","90","65","65","40","40","15","1","False","340"," https://img.pokemondb.net/sprites/bank/normal/slowpoke.png"
"80","Slowbro","Water","Psychic","490","95","75","110","100","80","30","1","False","340"," https://img.pokemondb.net/sprites/bank/normal/slowbro.png"
"80","SlowbroMega Slowbro","Water","Psychic","590","95","75","180","130","80","30","1","False","340"," https://img.pokemondb.net/sprites/bank/normal/slowbro.png"
"81","Magnemite","Electric","Steel","325","25","35","70","95","55","45","1","False","180"," https://img.pokemondb.net/sprites/bank/normal/magnemite.png"
"82","Magneton","Electric","Steel","465","50","60","95","120","70","70","1","False","180"," https://img.pokemondb.net/sprites/bank/normal/magneton.png"
"83","Farfetch'd","Normal","Flying","352","52","65","55","58","62","60","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/farfetchd.png"
"84","Doduo","Normal","Flying","310","35","85","45","35","35","75","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/doduo.png"
"85","Dodrio","Normal","Flying","460","60","110","70","60","60","100","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/dodrio.png"
"86","Seel","Water","N/A","325","65","45","55","45","70","45","1","False","240"," https://img.pokemondb.net/sprites/bank/normal/seel.png"
"87","Dewgong","Water","Ice","475","90","70","80","70","95","70","1","False","240"," https://img.pokemondb.net/sprites/bank/normal/dewgong.png"
"88","Grimer","Poison","N/A","325","80","80","50","40","50","25","1","False","300"," https://img.pokemondb.net/sprites/bank/normal/grimer.png"
"89","Muk","Poison","N/A","500","105","105","75","65","100","50","1","False","300"," https://img.pokemondb.net/sprites/bank/normal/muk.png"
"90","Shellder","Water","N/A","305","30","65","100","45","25","40","1","False","240"," https://img.pokemondb.net/sprites/bank/normal/shellder.png"
"91","Cloyster","Water","Ice","525","50","95","180","85","45","70","1","False","240"," https://img.pokemondb.net/sprites/bank/normal/cloyster.png"
"92","Gastly","Ghost","Poison","310","30","35","30","100","35","80","1","False","300"," https://img.pokemondb.net/sprites/bank/normal/gastly.png"
"93","Haunter","Ghost","Poison","405","45","50","45","115","55","95","1","False","260"," https://img.pokemondb.net/sprites/bank/normal/haunter.png"
"94","Gengar","Ghost","Poison","500","60","65","60","130","75","110","1","False","260"," https://img.pokemondb.net/sprites/bank/normal/gengar.png"
"94","GengarMega Gengar","Ghost","Poison","600","60","65","80","170","95","130","1","False","260"," https://img.pokemondb.net/sprites/bank/normal/gengar.png"
"95","Onix","Rock","Ground","385","35","45","160","30","45","70","1","False","300"," https://img.pokemondb.net/sprites/bank/normal/onix.png"
"96","Drowzee","Psychic","N/A","328","60","48","45","43","90","42","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/drowzee.png"
"97","Hypno","Psychic","N/A","483","85","73","70","73","115","67","1","False","54"," https://img.pokemondb.net/sprites/bank/normal/hypno.png"
"98","Krabby","Water","N/A","325","30","105","90","25","25","50","1","False","300"," https://img.pokemondb.net/sprites/bank/normal/krabby.png"
"99","Kingler","Water","N/A","475","55","130","115","50","50","75","1","False","20"," https://img.pokemondb.net/sprites/bank/normal/kingler.png"
"100","Voltorb","Electric","N/A","330","40","30","50","55","55","100","1","False","8"," https://img.pokemondb.net/sprites/bank/normal/voltorb.png"
"101","Electrode","Electric","N/A","480","60","50","70","80","80","140","1","False","240"," https://img.pokemondb.net/sprites/bank/normal/electrode.png"
"102","Exeggcute","Grass","Psychic","325","60","40","80","60","45","40","1","False","330"," https://img.pokemondb.net/sprites/bank/normal/exeggcute.png"
"103","Exeggutor","Grass","Psychic","520","95","95","85","125","65","55","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/exeggutor.png"
"104","Cubone","Ground","N/A","320","50","50","95","40","50","35","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/cubone.png"
"105","Marowak","Ground","N/A","425","60","80","110","50","80","45","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/marowak.png"
"106","Hitmonlee","Fighting","N/A","455","50","120","53","35","110","87","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/hitmonlee.png"
"107","Hitmonchan","Fighting","N/A","455","50","105","79","35","110","76","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/hitmonchan.png"
"108","Lickitung","Normal","N/A","385","90","55","75","60","75","30","1","False","340"," https://img.pokemondb.net/sprites/bank/normal/lickitung.png"
"109","Koffing","Poison","N/A","340","40","65","95","60","45","35","1","False","240"," https://img.pokemondb.net/sprites/bank/normal/koffing.png"
"110","Weezing","Poison","N/A","490","65","90","120","85","70","60","1","False","300"," https://img.pokemondb.net/sprites/bank/normal/weezing.png"
"111","Rhyhorn","Ground","Rock","345","80","85","95","30","30","25","1","False","240"," https://img.pokemondb.net/sprites/bank/normal/rhyhorn.png"
"112","Rhydon","Ground","Rock","485","105","130","120","45","45","40","1","False","210"," https://img.pokemondb.net/sprites/bank/normal/rhydon.png"
"113","Chansey","Normal","N/A","450","250","5","5","35","105","50","1","False","330"," https://img.pokemondb.net/sprites/bank/normal/chansey.png"
"114","Tangela","Grass","N/A","435","65","55","115","100","40","60","1","False","200"," https://img.pokemondb.net/sprites/bank/normal/tangela.png"
"115","Kangaskhan","Normal","N/A","490","105","95","80","40","80","90","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/kangaskhan.png"
"115","KangaskhanMega Kangaskhan","Normal","N/A","590","105","125","100","60","100","100","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/kangaskhan.png"
"116","Horsea","Water","N/A","295","30","40","70","70","25","60","1","False","200"," https://img.pokemondb.net/sprites/bank/normal/horsea.png"
"117","Seadra","Water","N/A","440","55","65","95","95","45","85","1","False","192"," https://img.pokemondb.net/sprites/bank/normal/seadra.png"
"118","Goldeen","Water","N/A","320","45","67","60","35","50","63","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/goldeen.png"
"119","Seaking","Water","N/A","450","80","92","65","65","80","68","1","False","18"," https://img.pokemondb.net/sprites/bank/normal/seaking.png"
"120","Staryu","Water","N/A","340","30","45","55","70","55","85","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/staryu.png"
"121","Starmie","Water","Psychic","520","60","75","85","100","85","115","1","False","240"," https://img.pokemondb.net/sprites/bank/normal/starmie.png"
"122","Mr. Mime","Psychic","Fairy","460","40","45","65","100","120","90","1","False","210"," https://img.pokemondb.net/sprites/bank/normal/mr-mime.png"
"123","Scyther","Bug","Flying","500","70","110","80","55","80","105","1","False","90"," https://img.pokemondb.net/sprites/bank/normal/scyther.png"
"124","Jynx","Ice","Psychic","455","65","50","35","115","95","95","1","False","6"," https://img.pokemondb.net/sprites/bank/normal/jynx.png"
"125","Electabuzz","Electric","N/A","490","65","83","57","95","85","105","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/electabuzz.png"
"126","Magmar","Fire","N/A","495","65","95","57","100","85","93","1","False","18"," https://img.pokemondb.net/sprites/bank/normal/magmar.png"
"127","Pinsir","Bug","N/A","500","65","125","100","55","70","85","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/pinsir.png"
"127","PinsirMega Pinsir","Bug","Flying","600","65","155","120","65","90","105","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/pinsir.png"
"128","Tauros","Normal","N/A","490","75","100","95","40","70","110","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/tauros.png"
"129","Magikarp","Water","N/A","200","20","10","55","15","20","80","1","False","12"," https://img.pokemondb.net/sprites/bank/normal/magikarp.png"
"130","Gyarados","Water","Flying","540","95","125","79","60","100","81","1","False","40"," https://img.pokemondb.net/sprites/bank/normal/gyarados.png"
"130","GyaradosMega Gyarados","Water","Dark","640","95","155","109","70","130","81","1","False","40"," https://img.pokemondb.net/sprites/bank/normal/gyarados.png"
"131","Lapras","Water","Ice","535","130","85","80","85","95","60","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/lapras.png"
"132","Ditto","Normal","N/A","288","48","48","48","48","48","48","1","False","270"," https://img.pokemondb.net/sprites/bank/normal/ditto.png"
"133","Eevee","Normal","N/A","325","55","55","50","45","65","55","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/eevee.png"
"134","Vaporeon","Water","N/A","525","130","65","60","110","95","65","1","False","200"," https://img.pokemondb.net/sprites/bank/normal/vaporeon.png"
"135","Jolteon","Electric","N/A","525","65","65","60","110","95","130","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/jolteon.png"
"136","Flareon","Fire","N/A","525","65","130","60","95","110","65","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/flareon.png"
"137","Porygon","Normal","N/A","395","65","60","70","85","75","40","1","False","180"," https://img.pokemondb.net/sprites/bank/normal/porygon.png"
"138","Omanyte","Rock","Water","355","35","40","100","90","55","35","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/omanyte.png"
"139","Omastar","Rock","Water","495","70","60","125","115","70","55","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/omastar.png"
"140","Kabuto","Rock","Water","355","30","80","90","55","45","55","1","False","24"," https://img.pokemondb.net/sprites/bank/normal/kabuto.png"
"141","Kabutops","Rock","Water","495","60","115","105","65","70","80","1","False","30"," https://img.pokemondb.net/sprites/bank/normal/kabutops.png"
"142","Aerodactyl","Rock","Flying","515","80","105","65","60","75","130","1","False","240"," https://img.pokemondb.net/sprites/bank/normal/aerodactyl.png"
"142","AerodactylMega Aerodactyl","Rock","Flying","615","80","135","85","70","95","150","1","False","240"," https://img.pokemondb.net/sprites/bank/normal/aerodactyl.png"
"143","Snorlax","Normal","N/A","540","160","110","65","65","110","30","1","False","60"," https://img.pokemondb.net/sprites/bank/normal/snorlax.png"
"144","Articuno","Ice","Flying","580","90","85","100","95","125","85","1","True","210"," https://img.pokemondb.net/sprites/bank/normal/articuno.png"
"145","Zapdos","Electric","Flying","580","90","90","85","125","90","100","1","True","60"," https://img.pokemondb.net/sprites/bank/normal/zapdos.png"
"146","Moltres","Fire","Flying","580","90","100","90","125","85","90","1","True","40"," https://img.pokemondb.net/sprites/bank/normal/moltres.png"
"147","Dratini","Dragon","N/A","300","41","64","45","50","50","50","1","False","210"," https://img.pokemondb.net/sprites/bank/normal/dratini.png"
"148","Dragonair","Dragon","N/A","420","61","84","65","70","70","70","1","False","210"," https://img.pokemondb.net/sprites/bank/normal/dragonair.png"
"149","Dragonite","Dragon","Flying","600","91","134","95","100","100","80","1","False","40"," https://img.pokemondb.net/sprites/bank/normal/dragonite.png"
"150","Mewtwo","Psychic","N/A","680","106","110","90","154","90","130","1","True","300"," https://img.pokemondb.net/sprites/bank/normal/mewtwo.png"
"150","MewtwoMega Mewtwo X","Psychic","Fighting","780","106","190","100","154","100","130","1","True","300"," https://img.pokemondb.net/sprites/bank/normal/mewtwo.png"
"150","MewtwoMega Mewtwo Y","Psychic","N/A","780","106","150","70","194","120","140","1","True","300"," https://img.pokemondb.net/sprites/bank/normal/mewtwo.png"
"151","Mew","Psychic","N/A","600","100","100","100","100","100","100","1","False","330"," https://img.pokemondb.net/sprites/bank/normal/mew.png"
"152","Chikorita","Grass","N/A","318","45","49","65","49","65","45","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/chikorita.png"
"153","Bayleef","Grass","N/A","405","60","62","80","63","80","60","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/bayleef.png"
"154","Meganium","Grass","N/A","525","80","82","100","83","100","80","2","False","79"," https://img.pokemondb.net/sprites/bank/normal/meganium.png"
"155","Cyndaquil","Fire","N/A","309","39","52","43","60","50","65","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/cyndaquil.png"
"156","Quilava","Fire","N/A","405","58","64","58","80","65","80","2","False","192"," https://img.pokemondb.net/sprites/bank/normal/quilava.png"
"157","Typhlosion","Fire","N/A","534","78","84","78","109","85","100","2","False","50"," https://img.pokemondb.net/sprites/bank/normal/typhlosion.png"
"158","Totodile","Water","N/A","314","50","65","64","44","48","43","2","False","180"," https://img.pokemondb.net/sprites/bank/normal/totodile.png"
"159","Croconaw","Water","N/A","405","65","80","80","59","63","58","2","False","180"," https://img.pokemondb.net/sprites/bank/normal/croconaw.png"
"160","Feraligatr","Water","N/A","530","85","105","100","79","83","78","2","False","195"," https://img.pokemondb.net/sprites/bank/normal/feraligatr.png"
"161","Sentret","Normal","N/A","215","35","46","34","35","45","20","2","False","30"," https://img.pokemondb.net/sprites/bank/normal/sentret.png"
"162","Furret","Normal","N/A","415","85","76","64","45","55","90","2","False","40"," https://img.pokemondb.net/sprites/bank/normal/furret.png"
"163","Hoothoot","Normal","Flying","262","60","30","30","36","56","50","2","False","36"," https://img.pokemondb.net/sprites/bank/normal/hoothoot.png"
"164","Noctowl","Normal","Flying","442","100","50","50","76","96","70","2","False","24"," https://img.pokemondb.net/sprites/bank/normal/noctowl.png"
"165","Ledyba","Bug","Flying","265","40","20","30","40","80","55","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/ledyba.png"
"166","Ledian","Bug","Flying","390","55","35","50","55","110","85","2","False","354"," https://img.pokemondb.net/sprites/bank/normal/ledian.png"
"167","Spinarak","Bug","Poison","250","40","60","40","40","40","30","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/spinarak.png"
"168","Ariados","Bug","Poison","390","70","90","70","60","60","40","2","False","270"," https://img.pokemondb.net/sprites/bank/normal/ariados.png"
"169","Crobat","Poison","Flying","535","85","90","80","70","80","130","2","False","270"," https://img.pokemondb.net/sprites/bank/normal/crobat.png"
"170","Chinchou","Water","Electric","330","75","38","38","56","56","67","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/chinchou.png"
"171","Lanturn","Water","Electric","460","125","58","58","76","76","67","2","False","225"," https://img.pokemondb.net/sprites/bank/normal/lanturn.png"
"172","Pichu","Electric","N/A","205","20","40","15","35","35","60","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/pichu.png"
"173","Cleffa","Fairy","N/A","218","50","25","28","45","55","15","2","False","30"," https://img.pokemondb.net/sprites/bank/normal/cleffa.png"
"174","Igglybuff","Normal","Fairy","210","90","30","15","40","20","15","2","False","330"," https://img.pokemondb.net/sprites/bank/normal/igglybuff.png"
"175","Togepi","Fairy","N/A","245","35","20","65","40","65","20","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/togepi.png"
"176","Togetic","Fairy","Flying","405","55","40","85","80","105","40","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/togetic.png"
"177","Natu","Psychic","Flying","320","40","50","45","70","45","70","2","False","86"," https://img.pokemondb.net/sprites/bank/normal/natu.png"
"178","Xatu","Psychic","Flying","470","65","75","70","95","70","95","2","False","180"," https://img.pokemondb.net/sprites/bank/normal/xatu.png"
"179","Mareep","Electric","N/A","280","55","40","40","65","45","35","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/mareep.png"
"180","Flaaffy","Electric","N/A","365","70","55","55","80","60","45","2","False","180"," https://img.pokemondb.net/sprites/bank/normal/flaaffy.png"
"181","Ampharos","Electric","N/A","510","90","75","85","115","90","55","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/ampharos.png"
"181","AmpharosMega Ampharos","Electric","Dragon","610","90","95","105","165","110","45","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/ampharos.png"
"182","Bellossom","Grass","N/A","490","75","80","95","90","100","50","2","False","120"," https://img.pokemondb.net/sprites/bank/normal/bellossom.png"
"183","Marill","Water","Fairy","250","70","20","50","20","50","40","2","False","201"," https://img.pokemondb.net/sprites/bank/normal/marill.png"
"184","Azumarill","Water","Fairy","420","100","50","80","60","80","50","2","False","198"," https://img.pokemondb.net/sprites/bank/normal/azumarill.png"
"185","Sudowoodo","Rock","N/A","410","70","100","115","30","65","30","2","False","24"," https://img.pokemondb.net/sprites/bank/normal/sudowoodo.png"
"186","Politoed","Water","N/A","500","90","75","75","90","100","70","2","False","90"," https://img.pokemondb.net/sprites/bank/normal/politoed.png"
"187","Hoppip","Grass","Flying","250","35","35","40","35","55","50","2","False","340"," https://img.pokemondb.net/sprites/bank/normal/hoppip.png"
